timestamp,gpu_util_pct,mem_util_pct,mem_used_MB,mem_total_MB
2026/06/02 14:07:35.992, 0, 0, 1005, 23034
2026/06/02 14:07:40.993, 9, 0, 1258, 23034
2026/06/02 14:07:45.994, 46, 18, 1430, 23034
2026/06/02 14:07:50.995, 2, 0, 1738, 23034
2026/06/02 14:07:55.996, 98, 48, 1652, 23034
2026/06/02 14:08:00.998, 35, 16, 1408, 23034
2026/06/02 14:08:05.998, 0, 0, 1220, 23034
2026/06/02 14:08:10.999, 5, 0, 1258, 23034
2026/06/02 14:08:16.000, 97, 54, 1612, 23034
2026/06/02 14:08:21.001, 99, 63, 1612, 23034
2026/06/02 14:08:26.002, 100, 71, 1696, 23034
2026/06/02 14:08:31.003, 69, 29, 1408, 23034
2026/06/02 14:08:36.005, 0, 0, 1258, 23034
2026/06/02 14:08:41.013, 99, 56, 1632, 23034
2026/06/02 14:08:46.015, 98, 52, 1570, 23034
2026/06/02 14:08:51.016, 95, 42, 1824, 23034
2026/06/02 14:08:56.017, 96, 43, 1552, 23034
2026/06/02 14:09:01.019, 60, 33, 1562, 23034
2026/06/02 14:09:06.020, 100, 63, 1934, 23034
2026/06/02 14:09:11.021, 5, 0, 1258, 23034
2026/06/02 14:09:16.021, 97, 42, 1612, 23034
2026/06/02 14:09:21.022, 90, 41, 1448, 23034
2026/06/02 14:09:26.024, 96, 41, 1738, 23034
2026/06/02 14:09:31.026, 66, 33, 1738, 23034
2026/06/02 14:09:36.028, 99, 56, 1654, 23034
2026/06/02 14:09:41.029, 44, 8, 1394, 23034
2026/06/02 14:09:46.030, 0, 0, 1220, 23034
2026/06/02 14:09:51.031, 27, 4, 1394, 23034
2026/06/02 14:09:56.032, 0, 0, 1220, 23034
2026/06/02 14:10:01.033, 0, 0, 1220, 23034
2026/06/02 14:10:06.034, 0, 0, 1220, 23034
2026/06/02 14:10:11.036, 0, 0, 1220, 23034
2026/06/02 14:10:16.038, 0, 0, 1220, 23034
2026/06/02 14:10:21.040, 0, 0, 1220, 23034
2026/06/02 14:10:26.041, 0, 0, 1220, 23034
2026/06/02 14:10:31.043, 0, 0, 1220, 23034
2026/06/02 14:10:36.046, 2, 1, 1220, 23034
2026/06/02 14:10:41.048, 0, 0, 1220, 23034
2026/06/02 14:10:46.050, 0, 0, 1229, 23034
2026/06/02 14:10:51.051, 0, 0, 1229, 23034
2026/06/02 14:10:56.054, 0, 0, 1229, 23034
2026/06/02 14:11:01.056, 0, 0, 1229, 23034
2026/06/02 14:11:06.058, 0, 0, 1229, 23034
2026/06/02 14:11:11.059, 0, 0, 1229, 23034
2026/06/02 14:11:16.062, 0, 0, 1229, 23034
2026/06/02 14:11:21.064, 0, 0, 1229, 23034
2026/06/02 14:11:26.066, 0, 0, 1229, 23034
2026/06/02 14:11:31.067, 0, 0, 1229, 23034
2026/06/02 14:11:36.070, 0, 0, 1229, 23034
2026/06/02 14:11:41.072, 0, 0, 1229, 23034
2026/06/02 14:11:46.074, 0, 0, 1229, 23034
2026/06/02 14:11:51.076, 0, 0, 1229, 23034
2026/06/02 14:11:56.078, 0, 0, 1229, 23034
2026/06/02 14:12:01.079, 0, 0, 1229, 23034
2026/06/02 14:12:06.082, 0, 0, 1229, 23034
2026/06/02 14:12:11.084, 0, 0, 1229, 23034
2026/06/02 14:12:16.086, 0, 0, 1229, 23034
2026/06/02 14:12:21.089, 0, 0, 1229, 23034
2026/06/02 14:12:26.091, 0, 0, 1229, 23034
2026/06/02 14:12:31.093, 0, 0, 1229, 23034
2026/06/02 14:12:36.094, 0, 0, 1229, 23034
2026/06/02 14:12:41.096, 0, 0, 1229, 23034
2026/06/02 14:12:46.098, 0, 0, 1229, 23034
2026/06/02 14:12:51.100, 0, 0, 1229, 23034
2026/06/02 14:12:56.102, 0, 0, 1229, 23034
2026/06/02 14:13:01.105, 0, 0, 1229, 23034
2026/06/02 14:13:06.106, 0, 0, 1229, 23034
2026/06/02 14:13:11.108, 0, 0, 1229, 23034
2026/06/02 14:13:16.110, 0, 0, 1229, 23034
2026/06/02 14:13:21.112, 0, 0, 1229, 23034
2026/06/02 14:13:26.115, 0, 0, 1229, 23034
2026/06/02 14:13:31.117, 0, 0, 1229, 23034
2026/06/02 14:13:36.118, 0, 0, 1229, 23034
2026/06/02 14:13:41.120, 0, 0, 1229, 23034
2026/06/02 14:13:46.120, 0, 0, 1229, 23034
2026/06/02 14:13:51.121, 0, 0, 1229, 23034
2026/06/02 14:13:56.123, 0, 0, 1229, 23034
2026/06/02 14:14:01.124, 0, 0, 1229, 23034
2026/06/02 14:14:06.126, 0, 0, 1229, 23034
2026/06/02 14:14:11.130, 0, 0, 1229, 23034
2026/06/02 14:14:16.132, 0, 0, 1229, 23034
2026/06/02 14:14:21.132, 0, 0, 1229, 23034
2026/06/02 14:14:26.134, 0, 0, 1229, 23034
2026/06/02 14:14:31.135, 0, 0, 1229, 23034
2026/06/02 14:14:36.137, 0, 0, 1229, 23034
2026/06/02 14:14:41.138, 0, 0, 1229, 23034
2026/06/02 14:14:46.140, 0, 0, 1229, 23034
2026/06/02 14:14:51.142, 0, 0, 1229, 23034
2026/06/02 14:14:56.143, 0, 0, 1229, 23034
2026/06/02 14:15:01.144, 0, 0, 1229, 23034
2026/06/02 14:15:06.145, 0, 0, 1229, 23034
2026/06/02 14:15:11.146, 0, 0, 1229, 23034
2026/06/02 14:15:16.146, 0, 0, 1229, 23034
2026/06/02 14:15:21.147, 0, 0, 1229, 23034
2026/06/02 14:15:26.148, 0, 0, 1229, 23034
2026/06/02 14:15:31.149, 0, 0, 1229, 23034
2026/06/02 14:15:36.149, 0, 0, 1229, 23034
2026/06/02 14:15:41.150, 0, 0, 1229, 23034
2026/06/02 14:15:46.150, 0, 0, 1229, 23034
2026/06/02 14:15:51.151, 0, 0, 1026, 23034
2026/06/02 14:15:56.151, 0, 0, 1026, 23034
2026/06/02 14:16:01.152, 0, 0, 1026, 23034
2026/06/02 14:16:06.154, 0, 0, 1026, 23034
2026/06/02 14:16:11.156, 0, 0, 1026, 23034
2026/06/02 14:16:16.157, 0, 0, 1026, 23034
2026/06/02 14:16:21.159, 0, 0, 1026, 23034
2026/06/02 14:16:26.160, 0, 0, 1026, 23034
2026/06/02 14:16:31.161, 0, 0, 1026, 23034
2026/06/02 14:16:36.162, 0, 0, 1014, 23034
2026/06/02 14:16:41.163, 0, 0, 1014, 23034
2026/06/02 14:16:46.164, 0, 0, 1014, 23034
2026/06/02 14:16:51.165, 0, 0, 1014, 23034
2026/06/02 14:16:56.166, 0, 0, 1014, 23034
2026/06/02 14:17:01.167, 0, 0, 1014, 23034
