timestamp,cpu_util_pct,mem_used_MB,mem_total_MB,swap_used_MB
2026/06/02 16:01:55,7.7,3373,61909,0
2026/06/02 16:02:00,7.6,3436,61909,0
2026/06/02 16:02:04,7.6,3409,61909,0
2026/06/02 16:02:09,1.5,3387,61909,0
2026/06/02 16:02:13,0.7,3370,61909,0
2026/06/02 16:02:18,0.9,3344,61909,0
2026/06/02 16:02:22,1.2,3352,61909,0
2026/06/02 16:02:27,0.4,3349,61909,0
2026/06/02 16:02:31,0.6,3355,61909,0
2026/06/02 16:02:36,0.5,3344,61909,0
2026/06/02 16:02:40,1.2,3374,61909,0
2026/06/02 16:02:45,1.1,3364,61909,0
2026/06/02 16:02:49,1.6,3342,61909,0
2026/06/02 16:02:54,1.1,3348,61909,0
2026/06/02 16:02:58,1.0,3333,61909,0
2026/06/02 16:03:03,0.9,3321,61909,0
2026/06/02 16:03:07,0.5,3327,61909,0
2026/06/02 16:03:12,0.6,3333,61909,0
2026/06/02 16:03:16,0.2,3345,61909,0
2026/06/02 16:03:21,0.9,3319,61909,0
2026/06/02 16:03:25,1.6,3330,61909,0
2026/06/02 16:03:30,1.5,3323,61909,0
2026/06/02 16:03:34,1.5,3319,61909,0
2026/06/02 16:03:39,2.1,3325,61909,0
2026/06/02 16:03:43,1.5,3349,61909,0
2026/06/02 16:03:48,0.5,3329,61909,0
2026/06/02 16:03:53,0.4,3324,61909,0
2026/06/02 16:03:57,0.1,3327,61909,0
2026/06/02 16:04:02,0.9,3336,61909,0
2026/06/02 16:04:06,0.6,3333,61909,0
2026/06/02 16:04:11,0.4,3319,61909,0
2026/06/02 16:04:15,1.2,3310,61909,0
2026/06/02 16:04:20,1.5,3337,61909,0
2026/06/02 16:04:24,1.4,3323,61909,0
2026/06/02 16:04:29,0.4,3319,61909,0
2026/06/02 16:04:33,0.5,3316,61909,0
2026/06/02 16:04:38,0.5,3305,61909,0
2026/06/02 16:04:42,0.7,3309,61909,0
2026/06/02 16:04:47,0.5,3305,61909,0
2026/06/02 16:04:51,0.7,3301,61909,0
2026/06/02 16:04:56,0.5,3309,61909,0
2026/06/02 16:05:00,1.5,3303,61909,0
2026/06/02 16:05:05,1.1,3311,61909,0
2026/06/02 16:05:09,1.5,3316,61909,0
2026/06/02 16:05:14,0.5,3328,61909,0
2026/06/02 16:05:18,7.0,3430,61909,0
2026/06/02 16:05:23,1.2,3350,61909,0
2026/06/02 16:05:27,1.4,3343,61909,0
2026/06/02 16:05:32,1.2,3345,61909,0
2026/06/02 16:05:36,1.0,3350,61909,0
2026/06/02 16:05:41,0.5,3352,61909,0
2026/06/02 16:05:45,0.9,3361,61909,0
2026/06/02 16:05:50,1.0,3364,61909,0
2026/06/02 16:05:55,1.2,3358,61909,0
2026/06/02 16:05:59,1.7,3362,61909,0
2026/06/02 16:06:04,1.0,3343,61909,0
2026/06/02 16:06:08,0.4,3335,61909,0
2026/06/02 16:06:13,0.4,3342,61909,0
2026/06/02 16:06:17,0.4,3329,61909,0
2026/06/02 16:06:22,0.5,3328,61909,0
2026/06/02 16:06:26,0.4,3337,61909,0
2026/06/02 16:06:31,0.9,3334,61909,0
2026/06/02 16:06:35,1.1,3352,61909,0
2026/06/02 16:06:40,1.9,3341,61909,0
2026/06/02 16:06:44,1.0,3338,61909,0
2026/06/02 16:06:49,1.2,3341,61909,0
2026/06/02 16:06:53,1.5,3342,61909,0
2026/06/02 16:06:58,1.2,3356,61909,0
2026/06/02 16:07:02,1.2,3364,61909,0
2026/06/02 16:07:07,0.9,3357,61909,0
2026/06/02 16:07:11,1.0,3357,61909,0
2026/06/02 16:07:16,1.4,3352,61909,0
