timestamp,gpu_util_pct,mem_util_pct,mem_used_MB,mem_total_MB
2026/06/04 18:22:09.197, 0, 0, 729, 23034
2026/06/04 18:22:14.198, 0, 0, 1516, 23034
2026/06/04 18:22:19.199, 3, 2, 1516, 23034
2026/06/04 18:22:24.199, 12, 10, 1516, 23034
2026/06/04 18:22:29.200, 8, 6, 1516, 23034
2026/06/04 18:22:34.201, 1, 0, 1516, 23034
2026/06/04 18:22:39.201, 3, 2, 1516, 23034
2026/06/04 18:22:44.202, 10, 8, 1516, 23034
2026/06/04 18:22:49.202, 14, 10, 1516, 23034
2026/06/04 18:22:54.203, 8, 6, 1516, 23034
2026/06/04 18:22:59.203, 0, 0, 1516, 23034
2026/06/04 18:23:04.204, 3, 2, 1516, 23034
2026/06/04 18:23:09.204, 15, 10, 1516, 23034
2026/06/04 18:23:14.205, 10, 2, 1488, 23034
2026/06/04 18:23:19.205, 5, 2, 944, 23034
2026/06/04 18:23:24.206, 6, 4, 1516, 23034
2026/06/04 18:23:29.206, 8, 5, 1516, 23034
2026/06/04 18:23:34.207, 15, 10, 1516, 23034
2026/06/04 18:23:39.207, 6, 4, 1516, 23034
2026/06/04 18:23:44.208, 0, 0, 1516, 23034
2026/06/04 18:23:49.208, 7, 4, 1516, 23034
2026/06/04 18:23:54.209, 15, 10, 1516, 23034
2026/06/04 18:23:59.210, 8, 6, 1516, 23034
2026/06/04 18:24:04.210, 0, 0, 1516, 23034
2026/06/04 18:24:09.211, 7, 4, 1514, 23034
2026/06/04 18:24:14.211, 15, 11, 1516, 23034
2026/06/04 18:24:19.212, 8, 6, 1516, 23034
2026/06/04 18:24:24.212, 0, 0, 1516, 23034
2026/06/04 18:24:29.214, 7, 4, 1516, 23034
2026/06/04 18:24:34.216, 16, 11, 1516, 23034
2026/06/04 18:24:39.218, 12, 9, 1516, 23034
2026/06/04 18:24:44.219, 8, 6, 1516, 23034
2026/06/04 18:24:49.221, 5, 2, 1516, 23034
2026/06/04 18:24:54.222, 0, 0, 1516, 23034
2026/06/04 18:24:59.223, 0, 0, 944, 23034
2026/06/04 18:25:04.225, 3, 2, 1516, 23034
2026/06/04 18:25:09.226, 7, 4, 1516, 23034
2026/06/04 18:25:14.227, 0, 0, 1516, 23034
2026/06/04 18:25:19.229, 8, 5, 1516, 23034
2026/06/04 18:25:24.230, 11, 8, 1516, 23034
2026/06/04 18:25:29.232, 1, 0, 1516, 23034
2026/06/04 18:25:34.233, 0, 0, 1516, 23034
2026/06/04 18:25:39.234, 8, 5, 1516, 23034
2026/06/04 18:25:44.235, 8, 6, 1516, 23034
2026/06/04 18:25:49.236, 6, 4, 1516, 23034
2026/06/04 18:25:54.238, 15, 11, 1516, 23034
2026/06/04 18:25:59.238, 8, 6, 1516, 23034
2026/06/04 18:26:04.239, 0, 0, 1516, 23034
2026/06/04 18:26:09.241, 7, 4, 1514, 23034
2026/06/04 18:26:14.241, 16, 11, 1516, 23034
2026/06/04 18:26:19.243, 8, 6, 1516, 23034
2026/06/04 18:26:24.244, 0, 0, 1516, 23034
2026/06/04 18:26:29.245, 15, 10, 1516, 23034
2026/06/04 18:26:34.246, 13, 3, 1484, 23034
2026/06/04 18:26:39.247, 8, 4, 944, 23034
2026/06/04 18:26:44.248, 15, 10, 1516, 23034
2026/06/04 18:26:49.249, 0, 0, 1516, 23034
2026/06/04 18:26:54.250, 0, 0, 1516, 23034
2026/06/04 18:26:59.252, 15, 11, 1516, 23034
2026/06/04 18:27:04.277, 8, 6, 1516, 23034
2026/06/04 18:27:09.279, 0, 0, 1516, 23034
2026/06/04 18:27:14.280, 7, 4, 1516, 23034
2026/06/04 18:27:19.282, 11, 8, 1516, 23034
2026/06/04 18:27:24.283, 0, 0, 1516, 23034
2026/06/04 18:27:29.284, 14, 10, 1516, 23034
2026/06/04 18:27:34.285, 8, 6, 1516, 23034
2026/06/04 18:27:39.285, 0, 0, 1516, 23034
2026/06/04 18:27:44.286, 15, 10, 1516, 23034
2026/06/04 18:27:49.287, 8, 6, 1516, 23034
2026/06/04 18:27:54.287, 0, 0, 1516, 23034
2026/06/04 18:27:59.288, 7, 4, 1516, 23034
2026/06/04 18:28:04.288, 8, 6, 1516, 23034
2026/06/04 18:28:09.289, 5, 4, 1516, 23034
2026/06/04 18:28:14.290, 2, 0, 1516, 23034
2026/06/04 18:28:19.290, 14, 10, 1516, 23034
2026/06/04 18:28:24.291, 8, 6, 1516, 23034
2026/06/04 18:28:29.291, 0, 0, 1516, 23034
2026/06/04 18:28:34.292, 7, 4, 1516, 23034
2026/06/04 18:28:39.292, 11, 8, 1516, 23034
2026/06/04 18:28:44.293, 0, 0, 1516, 23034
2026/06/04 18:28:49.294, 7, 4, 1516, 23034
2026/06/04 18:28:54.294, 12, 9, 1516, 23034
2026/06/04 18:28:59.295, 0, 0, 1516, 23034
2026/06/04 18:29:04.295, 1, 0, 1516, 23034
2026/06/04 18:29:09.296, 15, 11, 1516, 23034
2026/06/04 18:29:14.297, 0, 0, 1516, 23034
2026/06/04 18:29:19.297, 12, 10, 1516, 23034
2026/06/04 18:29:24.298, 8, 6, 1516, 23034
2026/06/04 18:29:29.299, 0, 0, 1516, 23034
2026/06/04 18:29:34.299, 15, 11, 1516, 23034
2026/06/04 18:29:39.300, 8, 6, 1516, 23034
2026/06/04 18:29:44.300, 0, 0, 1516, 23034
2026/06/04 18:29:49.301, 15, 10, 1516, 23034
2026/06/04 18:29:54.301, 8, 6, 1516, 23034
2026/06/04 18:29:59.302, 0, 0, 1516, 23034
2026/06/04 18:30:04.302, 7, 4, 1516, 23034
2026/06/04 18:30:09.303, 9, 7, 1516, 23034
2026/06/04 18:30:14.303, 1, 0, 1514, 23034
2026/06/04 18:30:19.304, 3, 1, 1516, 23034
2026/06/04 18:30:24.304, 8, 4, 1516, 23034
2026/06/04 18:30:29.305, 8, 7, 1514, 23034
2026/06/04 18:30:34.305, 0, 0, 1516, 23034
2026/06/04 18:30:39.306, 7, 4, 1516, 23034
2026/06/04 18:30:44.307, 15, 11, 1516, 23034
2026/06/04 18:30:49.307, 0, 0, 944, 23034
2026/06/04 18:30:54.308, 0, 0, 946, 23034
2026/06/04 18:30:59.309, 0, 0, 1018, 23034
2026/06/04 18:31:04.309, 58, 3, 1018, 23034
2026/06/04 18:31:09.310, 76, 4, 1018, 23034
2026/06/04 18:31:14.310, 57, 3, 1018, 23034
2026/06/04 18:31:19.312, 58, 3, 1018, 23034
2026/06/04 18:31:24.313, 58, 3, 1018, 23034
2026/06/04 18:31:29.314, 60, 3, 1018, 23034
2026/06/04 18:31:34.316, 67, 1, 1018, 23034
2026/06/04 18:31:39.317, 67, 1, 1018, 23034
2026/06/04 18:31:44.318, 67, 1, 1018, 23034
