timestamp,cpu_util_pct,mem_used_MB,mem_total_MB,swap_used_MB
2026/06/04 18:22:09,9.2,3857,61909,0
2026/06/04 18:22:13,6.5,4155,61909,0
2026/06/04 18:22:18,6.7,4222,61909,0
2026/06/04 18:22:22,6.6,4199,61909,0
2026/06/04 18:22:27,6.8,4231,61909,0
2026/06/04 18:22:31,6.6,4183,61909,0
2026/06/04 18:22:36,7.7,4225,61909,0
2026/06/04 18:22:40,6.7,4202,61909,0
2026/06/04 18:22:45,7.9,4167,61909,0
2026/06/04 18:22:49,6.5,4162,61909,0
2026/06/04 18:22:54,6.5,4151,61909,0
2026/06/04 18:22:58,6.5,4122,61909,0
2026/06/04 18:23:03,6.5,4136,61909,0
2026/06/04 18:23:07,6.3,4232,61909,0
2026/06/04 18:23:12,6.7,4233,61909,0
2026/06/04 18:23:16,6.5,4208,61909,0
2026/06/04 18:23:21,6.5,4177,61909,0
2026/06/04 18:23:25,6.6,4210,61909,0
2026/06/04 18:23:30,6.6,4216,61909,0
2026/06/04 18:23:35,6.8,4167,61909,0
2026/06/04 18:23:39,7.2,4280,61909,0
2026/06/04 18:23:44,6.6,4252,61909,0
2026/06/04 18:23:48,6.5,4215,61909,0
2026/06/04 18:23:53,6.5,4211,61909,0
2026/06/04 18:23:57,6.5,4187,61909,0
2026/06/04 18:24:02,6.5,4268,61909,0
2026/06/04 18:24:06,6.3,4185,61909,0
2026/06/04 18:24:11,6.6,4299,61909,0
2026/06/04 18:24:15,6.5,4384,61909,0
2026/06/04 18:24:20,6.7,4333,61909,0
2026/06/04 18:24:24,6.7,4260,61909,0
2026/06/04 18:24:29,7.2,4210,61909,0
2026/06/04 18:24:33,7.1,4157,61909,0
2026/06/04 18:24:38,7.3,4117,61909,0
2026/06/04 18:24:42,6.3,4202,61909,0
2026/06/04 18:24:47,6.6,4202,61909,0
2026/06/04 18:24:51,6.3,4213,61909,0
2026/06/04 18:24:56,6.5,4195,61909,0
2026/06/04 18:25:00,6.5,4188,61909,0
2026/06/04 18:25:05,6.5,4173,61909,0
2026/06/04 18:25:09,7.2,4130,61909,0
2026/06/04 18:25:14,7.5,4133,61909,0
2026/06/04 18:25:18,7.2,4267,61909,0
2026/06/04 18:25:23,6.5,4209,61909,0
2026/06/04 18:25:27,6.6,4204,61909,0
2026/06/04 18:25:32,6.6,4167,61909,0
2026/06/04 18:25:37,6.5,4140,61909,0
2026/06/04 18:25:41,6.6,3980,61909,0
2026/06/04 18:25:46,7.2,4066,61909,0
2026/06/04 18:25:50,8.2,4085,61909,0
2026/06/04 18:25:55,7.3,4058,61909,0
2026/06/04 18:25:59,7.2,4038,61909,0
2026/06/04 18:26:04,6.8,4044,61909,0
2026/06/04 18:26:08,6.4,4052,61909,0
2026/06/04 18:26:13,6.3,4042,61909,0
2026/06/04 18:26:17,6.5,4149,61909,0
2026/06/04 18:26:22,6.6,4181,61909,0
2026/06/04 18:26:26,6.5,4187,61909,0
2026/06/04 18:26:31,6.6,4162,61909,0
2026/06/04 18:26:35,7.1,4139,61909,0
2026/06/04 18:26:40,7.7,4129,61909,0
2026/06/04 18:26:44,7.2,4095,61909,0
2026/06/04 18:26:49,6.5,4199,61909,0
2026/06/04 18:26:53,6.5,4193,61909,0
2026/06/04 18:26:58,6.6,4206,61909,0
2026/06/04 18:27:02,6.5,4187,61909,0
2026/06/04 18:27:07,6.6,4172,61909,0
2026/06/04 18:27:11,6.4,4132,61909,0
2026/06/04 18:27:16,7.3,4187,61909,0
2026/06/04 18:27:20,7.3,4127,61909,0
2026/06/04 18:27:25,7.2,4234,61909,0
2026/06/04 18:27:29,6.9,4234,61909,0
2026/06/04 18:27:34,6.4,4211,61909,0
2026/06/04 18:27:39,6.5,4188,61909,0
2026/06/04 18:27:43,6.6,4185,61909,0
2026/06/04 18:27:48,6.3,4148,61909,0
2026/06/04 18:27:52,6.5,4125,61909,0
2026/06/04 18:27:57,6.3,4078,61909,0
2026/06/04 18:28:01,7.1,4077,61909,0
2026/06/04 18:28:06,7.4,4192,61909,0
2026/06/04 18:28:10,7.2,4202,61909,0
2026/06/04 18:28:15,6.6,4211,61909,0
2026/06/04 18:28:19,6.3,4210,61909,0
2026/06/04 18:28:24,6.3,4202,61909,0
2026/06/04 18:28:28,6.6,4208,61909,0
2026/06/04 18:28:33,6.5,4217,61909,0
2026/06/04 18:28:37,6.3,4205,61909,0
2026/06/04 18:28:42,6.7,4167,61909,0
2026/06/04 18:28:46,7.0,4261,61909,0
2026/06/04 18:28:51,7.2,4216,61909,0
2026/06/04 18:28:55,7.2,4182,61909,0
2026/06/04 18:29:00,6.5,4194,61909,0
2026/06/04 18:29:04,6.3,4143,61909,0
2026/06/04 18:29:09,6.6,4132,61909,0
2026/06/04 18:29:13,6.7,4135,61909,0
2026/06/04 18:29:18,6.3,4114,61909,0
2026/06/04 18:29:22,6.3,4129,61909,0
2026/06/04 18:29:27,7.2,3981,61909,0
2026/06/04 18:29:31,7.1,4093,61909,0
2026/06/04 18:29:36,7.1,4085,61909,0
2026/06/04 18:29:41,6.5,4069,61909,0
2026/06/04 18:29:45,6.5,4080,61909,0
2026/06/04 18:29:50,6.3,4038,61909,0
2026/06/04 18:29:54,6.5,4025,61909,0
2026/06/04 18:29:59,6.5,4027,61909,0
2026/06/04 18:30:03,6.3,4014,61909,0
2026/06/04 18:30:08,6.5,4029,61909,0
2026/06/04 18:30:12,7.1,4137,61909,0
2026/06/04 18:30:17,7.2,4117,61909,0
2026/06/04 18:30:21,7.2,4116,61909,0
2026/06/04 18:30:26,6.4,4108,61909,0
2026/06/04 18:30:30,6.3,4104,61909,0
2026/06/04 18:30:35,6.5,4105,61909,0
2026/06/04 18:30:39,6.4,4082,61909,0
2026/06/04 18:30:44,6.6,4065,61909,0
2026/06/04 18:30:48,6.3,4324,61909,0
2026/06/04 18:30:53,57.1,4314,61909,0
2026/06/04 18:30:57,59.3,4606,61909,0
2026/06/04 18:31:02,21.6,4649,61909,0
2026/06/04 18:31:06,6.7,4643,61909,0
2026/06/04 18:31:11,6.6,4653,61909,0
2026/06/04 18:31:15,6.3,4687,61909,0
2026/06/04 18:31:20,6.3,4961,61909,0
2026/06/04 18:31:25,6.3,4904,61909,0
2026/06/04 18:31:29,6.5,4854,61909,0
2026/06/04 18:31:34,6.6,4868,61909,0
2026/06/04 18:31:38,7.2,4880,61909,0
2026/06/04 18:31:43,7.1,4887,61909,0
2026/06/04 18:31:47,7.1,4882,61909,0
2026/06/04 18:31:52,6.5,4643,61909,0
2026/06/04 18:31:56,6.3,4661,61909,0
2026/06/04 18:32:01,6.3,4827,61909,0
2026/06/04 18:32:05,6.3,4690,61909,0
2026/06/04 18:32:10,6.5,4720,61909,0
2026/06/04 18:32:14,6.5,4738,61909,0
2026/06/04 18:32:19,7.2,4748,61909,0
2026/06/04 18:32:23,7.2,4750,61909,0
2026/06/04 18:32:28,7.2,4769,61909,0
2026/06/04 18:32:32,6.6,4784,61909,0
2026/06/04 18:32:37,6.5,4809,61909,0
2026/06/04 18:32:41,6.5,4829,61909,0
2026/06/04 18:32:46,6.5,4823,61909,0
2026/06/04 18:32:50,9.5,4705,61909,0
2026/06/04 18:32:55,31.0,4595,61909,0
2026/06/04 18:32:59,50.6,4550,61909,0
2026/06/04 18:33:04,66.3,4473,61909,0
2026/06/04 18:33:08,67.2,4474,61909,0
2026/06/04 18:33:13,44.5,4834,61909,0
2026/06/04 18:33:18,32.5,4837,61909,0
2026/06/04 18:33:22,29.0,4821,61909,0
2026/06/04 18:33:27,25.1,4823,61909,0
2026/06/04 18:33:31,10.0,4780,61909,0
2026/06/04 18:33:36,6.8,4797,61909,0
2026/06/04 18:33:40,6.7,4785,61909,0
2026/06/04 18:33:45,7.1,4797,61909,0
2026/06/04 18:33:49,7.2,4793,61909,0
2026/06/04 18:33:54,6.9,4803,61909,0
2026/06/04 18:33:58,6.3,4788,61909,0
2026/06/04 18:34:03,6.3,4770,61909,0
2026/06/04 18:34:07,6.3,4777,61909,0
2026/06/04 18:34:12,6.5,4765,61909,0
2026/06/04 18:34:16,6.5,4769,61909,0
2026/06/04 18:34:21,6.7,4751,61909,0
2026/06/04 18:34:25,7.2,4776,61909,0
2026/06/04 18:34:30,7.2,4760,61909,0
2026/06/04 18:34:34,7.1,4751,61909,0
2026/06/04 18:34:39,6.4,4750,61909,0
2026/06/04 18:34:43,7.1,4753,61909,0
2026/06/04 18:34:48,7.1,4749,61909,0
2026/06/04 18:34:52,6.8,4743,61909,0
2026/06/04 18:34:57,7.1,4720,61909,0
2026/06/04 18:35:01,7.2,4712,61909,0
2026/06/04 18:35:06,7.7,4711,61909,0
2026/06/04 18:35:11,7.8,4713,61909,0
2026/06/04 18:35:15,7.1,4674,61909,0
2026/06/04 18:35:20,7.7,4691,61909,0
2026/06/04 18:35:24,9.5,4734,61909,0
2026/06/04 18:35:29,6.9,4712,61909,0
2026/06/04 18:35:33,6.5,4707,61909,0
2026/06/04 18:35:38,6.6,4724,61909,0
2026/06/04 18:35:42,7.1,4724,61909,0
2026/06/04 18:35:47,18.4,4700,61909,0
2026/06/04 18:35:51,40.5,4709,61909,0
2026/06/04 18:35:56,66.1,4437,61909,0
2026/06/04 18:36:00,65.2,4526,61909,0
2026/06/04 18:36:05,32.3,4650,61909,0
2026/06/04 18:36:09,6.8,4728,61909,0
2026/06/04 18:36:14,6.6,4740,61909,0
2026/06/04 18:36:18,6.7,4681,61909,0
2026/06/04 18:36:23,6.4,4688,61909,0
2026/06/04 18:36:27,7.6,4660,61909,0
2026/06/04 18:36:32,7.2,4624,61909,0
2026/06/04 18:36:36,7.1,4621,61909,0
2026/06/04 18:36:41,6.5,4583,61909,0
2026/06/04 18:36:45,6.6,4596,61909,0
2026/06/04 18:36:50,6.3,4594,61909,0
2026/06/04 18:36:55,6.8,4599,61909,0
2026/06/04 18:36:59,6.6,4612,61909,0
2026/06/04 18:37:04,6.6,4596,61909,0
2026/06/04 18:37:08,7.3,4594,61909,0
2026/06/04 18:37:13,7.6,4609,61909,0
2026/06/04 18:37:17,30.1,4610,61909,0
2026/06/04 18:37:22,64.3,4503,61909,0
2026/06/04 18:37:26,6.7,4582,61909,0
2026/06/04 18:37:31,6.6,4576,61909,0
2026/06/04 18:37:35,6.3,4576,61909,0
2026/06/04 18:37:40,6.7,4532,61909,0
2026/06/04 18:37:44,6.7,4542,61909,0
2026/06/04 18:37:49,7.3,4547,61909,0
2026/06/04 18:37:53,7.3,4543,61909,0
2026/06/04 18:37:58,7.1,4545,61909,0
2026/06/04 18:38:02,6.5,4534,61909,0
2026/06/04 18:38:07,55.3,4532,61909,0
2026/06/04 18:38:11,43.5,4458,61909,0
2026/06/04 18:38:16,10.3,4480,61909,0
2026/06/04 18:38:20,6.7,4985,61909,0
2026/06/04 18:38:25,30.1,4915,61909,0
2026/06/04 18:38:29,7.7,4824,61909,0
2026/06/04 18:38:34,9.4,4443,61909,0
2026/06/04 18:38:38,7.4,4874,61909,0
2026/06/04 18:38:43,37.5,4659,61909,0
2026/06/04 18:38:48,7.0,4895,61909,0
2026/06/04 18:38:52,11.0,4780,61909,0
2026/06/04 18:38:57,7.4,4785,61909,0
2026/06/04 18:39:01,6.7,4905,61909,0
2026/06/04 18:39:06,6.8,4888,61909,0
2026/06/04 18:39:10,7.5,4722,61909,0
2026/06/04 18:39:15,7.3,4718,61909,0
2026/06/04 18:39:19,7.9,4795,61909,0
2026/06/04 18:39:24,7.9,4800,61909,0
2026/06/04 18:39:28,6.7,4801,61909,0
2026/06/04 18:39:33,27.6,4143,61909,0
2026/06/04 18:39:37,6.7,4823,61909,0
2026/06/04 18:39:42,13.5,4657,61909,0
2026/06/04 18:39:46,6.3,4960,61909,0
2026/06/04 18:39:51,50.3,4871,61909,0
2026/06/04 18:39:55,8.0,5110,61909,0
2026/06/04 18:40:00,53.8,4898,61909,0
2026/06/04 18:40:04,6.5,4996,61909,0
2026/06/04 18:40:09,52.4,4915,61909,0
2026/06/04 18:40:13,6.5,4951,61909,0
2026/06/04 18:40:18,6.3,4921,61909,0
2026/06/04 18:40:22,6.5,4926,61909,0
2026/06/04 18:40:27,6.5,4975,61909,0
2026/06/04 18:40:31,6.9,4972,61909,0
2026/06/04 18:40:36,7.6,4858,61909,0
2026/06/04 18:40:41,7.8,4859,61909,0
2026/06/04 18:40:45,7.1,4998,61909,0
2026/06/04 18:40:50,6.7,4998,61909,0
2026/06/04 18:40:54,6.7,4883,61909,0
2026/06/04 18:40:59,6.5,4884,61909,0
2026/06/04 18:41:03,6.5,4953,61909,0
2026/06/04 18:41:08,6.4,4954,61909,0
2026/06/04 18:41:12,6.5,4833,61909,0
2026/06/04 18:41:17,7.2,4839,61909,0
2026/06/04 18:41:21,9.1,4881,61909,0
2026/06/04 18:41:26,30.6,4259,61909,0
2026/06/04 18:41:30,7.2,4879,61909,0
2026/06/04 18:41:35,41.0,4645,61909,0
2026/06/04 18:41:39,7.2,4858,61909,0
2026/06/04 18:41:44,51.1,4936,61909,0
2026/06/04 18:41:48,6.3,4998,61909,0
2026/06/04 18:41:53,51.4,5095,61909,0
2026/06/04 18:41:57,7.5,5149,61909,0
2026/06/04 18:42:02,22.5,5172,61909,0
2026/06/04 18:42:06,7.6,5173,61909,0
2026/06/04 18:42:11,6.8,5141,61909,0
2026/06/04 18:42:15,6.8,5081,61909,0
2026/06/04 18:42:20,7.0,4953,61909,0
2026/06/04 18:42:24,7.0,4933,61909,0
2026/06/04 18:42:29,6.8,5079,61909,0
2026/06/04 18:42:33,7.2,5065,61909,0
2026/06/04 18:42:38,7.7,4970,61909,0
2026/06/04 18:42:43,7.6,4963,61909,0
2026/06/04 18:42:47,7.3,4836,61909,0
2026/06/04 18:42:52,7.6,4843,61909,0
2026/06/04 18:42:56,6.8,4887,61909,0
2026/06/04 18:43:01,7.2,4883,61909,0
2026/06/04 18:43:05,6.7,4846,61909,0
2026/06/04 18:43:10,7.3,4848,61909,0
2026/06/04 18:43:14,6.3,4869,61909,0
2026/06/04 18:43:19,25.3,4871,61909,0
2026/06/04 18:43:23,7.2,5144,61909,0
2026/06/04 18:43:28,26.1,5147,61909,0
2026/06/04 18:43:32,7.1,5120,61909,0
2026/06/04 18:43:37,16.4,5139,61909,0
2026/06/04 18:43:41,6.4,5118,61909,0
2026/06/04 18:43:46,6.6,5128,61909,0
2026/06/04 18:43:50,6.7,5184,61909,0
2026/06/04 18:43:55,21.4,5184,61909,0
2026/06/04 18:43:59,6.6,5215,61909,0
2026/06/04 18:44:04,8.8,4406,61909,0
2026/06/04 18:44:08,7.2,4870,61909,0
2026/06/04 18:44:13,55.4,4926,61909,0
2026/06/04 18:44:17,6.6,4936,61909,0
2026/06/04 18:44:22,25.8,5150,61909,0
2026/06/04 18:44:26,7.1,5134,61909,0
2026/06/04 18:44:31,7.0,5101,61909,0
2026/06/04 18:44:35,6.8,5097,61909,0
2026/06/04 18:44:40,6.5,4775,61909,0
2026/06/04 18:44:45,16.4,4788,61909,0
2026/06/04 18:44:49,7.3,4935,61909,0
2026/06/04 18:44:54,33.3,4483,61909,0
2026/06/04 18:44:58,6.6,4800,61909,0
2026/06/04 18:45:03,12.7,4591,61909,0
2026/06/04 18:45:07,6.6,5014,61909,0
2026/06/04 18:45:12,41.2,5154,61909,0
2026/06/04 18:45:16,6.5,5157,61909,0
2026/06/04 18:45:21,7.0,4867,61909,0
2026/06/04 18:45:25,7.1,4873,61909,0
2026/06/04 18:45:30,7.8,4929,61909,0
2026/06/04 18:45:34,7.8,4933,61909,0
2026/06/04 18:45:39,7.2,4890,61909,0
2026/06/04 18:45:43,6.8,4882,61909,0
2026/06/04 18:45:48,6.7,4741,61909,0
2026/06/04 18:45:52,29.1,4621,61909,0
2026/06/04 18:45:57,6.8,4954,61909,0
2026/06/04 18:46:01,53.8,4788,61909,0
2026/06/04 18:46:06,7.2,4886,61909,0
2026/06/04 18:46:10,41.2,5035,61909,0
2026/06/04 18:46:15,1.0,3939,61909,0
2026/06/04 18:46:19,1.9,3928,61909,0
2026/06/04 18:46:24,0.6,3889,61909,0
2026/06/04 18:46:28,1.5,3886,61909,0
2026/06/04 18:46:33,0.9,3884,61909,0
2026/06/04 18:46:37,0.7,3893,61909,0
2026/06/04 18:46:42,0.7,3865,61909,0
2026/06/04 18:46:47,1.5,3872,61909,0
2026/06/04 18:46:51,1.5,3879,61909,0
2026/06/04 18:46:56,2.5,3878,61909,0
2026/06/04 18:47:00,2.2,3881,61909,0
2026/06/04 18:47:05,2.6,3891,61909,0
2026/06/04 18:47:09,1.1,3881,61909,0
2026/06/04 18:47:14,6.9,3959,61909,0
2026/06/04 18:47:18,7.3,4264,61909,0
2026/06/04 18:47:23,7.1,4274,61909,0
2026/06/04 18:47:27,7.2,4212,61909,0
2026/06/04 18:47:32,6.7,4221,61909,0
2026/06/04 18:47:36,7.9,4212,61909,0
2026/06/04 18:47:41,7.3,4308,61909,0
2026/06/04 18:47:45,7.5,4266,61909,0
2026/06/04 18:47:50,6.8,4242,61909,0
2026/06/04 18:47:54,7.3,4229,61909,0
2026/06/04 18:47:59,7.1,4227,61909,0
2026/06/04 18:48:03,7.2,4196,61909,0
2026/06/04 18:48:08,10.4,4226,61909,0
2026/06/04 18:48:12,9.1,4292,61909,0
2026/06/04 18:48:17,6.7,4260,61909,0
2026/06/04 18:48:21,7.8,4298,61909,0
2026/06/04 18:48:26,7.7,4254,61909,0
2026/06/04 18:48:30,7.7,4240,61909,0
2026/06/04 18:48:35,6.8,4184,61909,0
2026/06/04 18:48:39,6.9,4153,61909,0
